Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Auburn Landfill No 2,311 N. Division St.,,Auburn,NY,13021,Cayuga,7,3152526441,City of Auburn,Municipal,Composting - yard trimmings - registration,[06P10002],Yes,369852,4756819,,Yard Waste,Registration,06P10002,07/03/2018,05/03/2023,"311 N. Division St.
Auburn, NY 13021
(42.951885, -76.586778)"
Ultimate Used Auto Parts Inc,120-49 Flatlands Avenue,,Brooklyn,NY,11207,Kings,2,7182725700,Natan Seri,Private,Vehicle Dismantling Facility,[7095932],Yes,593992,4500739,,,,,,,"120-49 Flatlands Avenue
Brooklyn, NY 11207
(40.651919, -73.8884)"
Stasi Brothers Asphalt Corp,422 Maple Ave,,Westbury,NY,11590,Nassau,1,5163341229,Alison Pellegrino,Private,C&D processing - registration,[30W43R],Yes,619551,4512649,4.3 - Utilization of Digital Orthophoto Quads,Rock;Concrete;Sand;Soil (Clean),Registration,30W43R,03/13/2008,,"422 Maple Ave
Westbury, NY 11590
(40.756289, -73.583809)"
Castle Hill Recycling,1000 Zerega Avenue,,Bronx,NY,10462,Bronx,2,6463427874,Frank Todino/Castle Hill Recycling LLC,Private,C&D processing - registration,[03W94],Yes,597513,4520484,,Construction & Demolition Debris,Registration,03W94,,,"1000 Zerega Avenue
Bronx, NY 10462
(40.829502, -73.84416)"
Sterling Recycling Inc,99 Sterling Mine Rd,,Sloatsburg,NY,10974,Rockland,3,8457536666,Sterling Recycling; Inc,Private,C&D processing - permit,[44W04],Yes,566905,4556152,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Concrete;Metal (Structural);Asphalt;Brick;Paper / Cardboard;Wood (Unadulterated),Permit,3-3926-00280/00001,02/19/2013,07/05/2022,"99 Sterling Mine Rd
Sloatsburg, NY 10974
(41.154403, -74.203885)"
NRG Huntley Landfill,3500 River Road,,Tonawanda,NY,14150,Erie,9,7168793876,Huntley Power LLC,Private,Landfill - industrial waste monofill - permit,[15N24],Yes,179570,4767036,4.2 - Utilization of GIS and existing spatial data,Ash (Coal-Fly);Ash (Coal-Bottom),Permit,9-1464-00089/00002,11/03/2016,01/03/2023,"3500 River Road
Tonawanda, NY 14150
(42.970556, -78.927342)"
Broe Bank Sand & Gravel Mine,399 Hemlock Road,,Milford,NY,13820,Otsego,4,6074320611,Cobleskill Stone Products; Inc.,Private,CDDHRF - concrete rock brick - registration,[39C14001],Yes,470183,500860,,Concrete,Registration,39C14001,06/24/2019,06/24/2024,"399 Hemlock Road
Milford, NY 13820
(42.46991, -74.984068)"
New York Paving Inc,37-18 Railroad Ave,,Long Island City,NY,11101,Queens,2,7184820780,Anthony Bartone,Private,C&D processing - registration,[41W41],Yes,589900,4508600,2.1 - NYSDEC 100 m grid collection,Concrete;Rock;Soil (Clean),Registration,,,,"37-18 Railroad Ave
Long Island City, NY 11101
(40.733174, -73.938552)"
Peckham Materials Corp - Patterson Blacktop,1181 Rt. 6,,Carmel,NY,10512,Putnam,3,8456283425,Peckham Industries Corp.,Private,C&D processing - registration,[40W08],Yes,608071,4583789,1 - No accuracy stated,Rock;Brick;Asphalt;Soil (Clean);Construction & Demolition Debris,Registration,40W08,,,"1181 Rt. 6
Carmel, NY 10512
(41.398001, -73.707796)"
Juliano's Auto Parts Inc,4735 Route 14,,Sodus,NY,14551,Wayne,8,3154834607,Philip S. Juliano Sr.,Private,VDF - large - registration,[59V50006],Yes,338425,4782178,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Non-ferrous ;End of Life Vehicles;Scrap Metal - Ferrous,Registration,59V50006,06/11/2019,06/10/2024,
NYCDOS-NORTH SHORE MTS,31 AVE & FLUSHING BAY,,College Point,NY,11354,Queens,2,2128378030,NYC Department of Sanitation,Municipal,Transfer station - permit,[41T01],Yes,597307,4513857,,MSW (Residential/Institutional & Commercial),Permit,2-6302-00007/00019,06/21/2017,06/22/2022,
Zoladz Construction Company,13600 Railroad Street,,Alden,NY,14004,Erie,9,7169356575,Zoladz Construction Co.; Inc.,Private,CDDHRF - concrete rock brick - registration,[15C10081],Yes,215820,4755135,4 - GIS Assisted,Concrete;Brick,,15C10081,01/02/2021,01/02/2026,"13600 Railroad Street
Alden, NY 14004
(42.895243, -78.480703)"
Weedsport Joint Composting,2621 Earl St.,,Weedsport,NY,13166,Cayuga,7,3158346411,Village of Weedsport,Municipal,Composting - biosolids/other - permit,[06PP0028],Yes,372358,4767857,3.1 - Sportsman Hand-Held Unit (w/ Selective Availability on),,Permit,7-0522-00017/00007,06/10/2013,06/09/2023,"2621 Earl St.
Weedsport, NY 13166
(43.052535, -76.568504)"
Hudson Waste Container Inc,30 Browns Crossing Rd,,Catskill,NY,12414,Greene,4,5189433503,Michael C. Ferro,Private,Vehicle Dismantling Facility,[7089801],Yes,593919,4676722,,,,,,,"30 Browns Crossing Rd
Catskill, NY 12414
(42.237211, -73.864358)"
Caroga Transfer Station,232 Everson Road (Lane Road),,Caroga,NY,12032,Fulton,5,5187365501,Fulton County,County,Transfer facility - registration,[18T10002],Yes,542731,4771071,,MSW (Residential/Institutional & Commercial);Single Stream;Metals (Ferrous & Non-Ferrous);Electronics,Registration,18T10002,07/02/2018,07/01/2023,
Liberty Bell Trucking,1341 Route 52,,Carmel,NY,10512,Putnam,3,8458789294,Liberty Bell Trucking,Private,C&D processing - registration,[40W04],Yes,606419,4587474,,Asphalt;Concrete;Construction & Demolition Debris,Upgrade Order,,,,"1341 Route 52
Carmel, NY 10512
(41.509107, -73.684003)"
Organic Recycling Inc,121 Rt. 303,,Tappan,NY,10962,Rockland,3,8453981012,Organic Recycling Inc.,,Composting - yard waste - permit,[44Y09],Yes,588894,4541336,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste,Permit,3-3330-00082/00005,06/03/2004,01/21/2026,"121 Rt. 303
Tappan, NY 10962
(41.032985, -73.945167)"
St. Lawrence County Gouverneur Transfer Station,1831 State Route 11,,Gouverneur,NY,13642,St. Lawrence,6,3152870919,St. Lawrence County Solid Waste Dept.,County,RHRF - 5 tpd or less - registration,[45R10020],Yes,466486,4913630,4.1 - Address Matching,Textiles;Single Stream;Electronics;Other Non-Ferrous Scrap Metal;Other Ferrous Scrap Metal;Other Aluminum Scrap Metal,Registration,45R10020,11/18/2019,11/17/2024,"1831 State Route 11
Gouverneur, NY 13642
(44.375776, -75.420061)"
Performance Auto Parts Inc,2069 Drake Road,,Brockport,NY,14420,Monroe,8,5856375000,Richard Gallo,Private,VDF - large - registration,[28V51007],Yes,260745,4792022,,,Registration,28ZV51007,06/19/2018,06/18/2023,"2069 Drake Road
Brockport, NY 14420
(43.242643, -77.946497)"
North Hempstead Transfer Station,999 West Shore Rd.,,Port Washington,NY,11050,Nassau,1,5167674634,Town of North Hempstead,Municipal,RHRF - permit,[30M36],Yes,611769,4521546,,Source Separated Recyclables (Metal/Glass/Paper/Plastic),SAPA,1-2822-00466/00003,04/23/2015,04/23/2020,"999 West Shore Rd.
Port Washington, NY 11050
(40.809924, -73.655389)"
Canton LCD,731 State Highway 310,,Canton,NY,13617,St. Lawrence,6,3153223643,Terry Billings,,Landfill - land clearing debris,[45D16],Yes,488276,4943497,,Land Clearing Debris,Registration,45D16,05/11/2015,,"731 State Highway 310
Canton, NY 13617
(44.642807, -75.148045)"
Diamond Hurwitz Scrap LLC,267 Marilla Street,,Buffalo,NY,14220,Erie,9,7168232863,Diamond Hurwitz Scrap; LLC,Private,VDF - large - registration,[15V50051],Yes,186971,4749857,1 - No accuracy stated,End of Life Vehicles,Registration,15V50051,04/10/2019,04/10/2024,"267 Marilla Street
Buffalo, NY 14220
(42.83734, -78.830327)"
Truxton (T) Transfer Station,6514 Academy Street,,Town of Truxton,NY,13159,Cortland,7,6078426984,Town of Truxton,Municipal,RHRF - 5 tpd or less - registration,[12R10006],Yes,415747,4730586,4 - GIS Assisted,Commingled Containers;Container Glass;Commingled Paper,Registration,12T10006,01/28/2018,05/03/2023,"6514 Academy Street
Town of Truxton, NY 13159
(42.723508, -76.029343)"
Raquette Lake Recyclables Collection Site & TS,Antlers Road,,Long Lake,NY,12847,Hamilton,5,5186243088,Town of Long Lake,Municipal,Transfer station - registration,[21R07],Yes,527671,4852191,1 - No accuracy stated,MSW (Residential/Institutional & Commercial),Registration,21R07,,,
Prentice Auto Parts,1875 Lewiston Road,,Basom,NY,14013,Genesee,8,5858134620,Ronald Swimline,Private,VDF - small - registration,[5190052],Yes,226903,4777073,,,,,,,"1875 Lewiston Road
Basom, NY 14013
(43.096309, -78.356841)"
Somers Sanitation LLC,241 Route 100,,Somers,NY,10589,Westchester,3,9142327585,Lawrence Bria,Private,Transfer station - permit,[60T26],Yes,609077,4573789,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Single Stream;Yard Waste;Newspaper;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Concrete;Waste Tires,Permit,3-5552-00040-00005,05/24/2017,05/23/2022,"241 Route 100
Somers, NY 10589
(41.307944, -73.695455)"
EcoPark & Rochester Transfer Station,10-14 Avion Drive,,Rochester,NY,14624,Monroe,8,5854943000,Waste Management of NY; Inc,Private,Transfer facility - permit,[28T06],Yes,280520,4775672,1 - No accuracy stated,Commingled Paper & Containers;Yard Waste;Corrugated Cardboard;Office Paper;Metals (Ferrous & Non-Ferrous);White Goods;Commingled Plastics;Electronics,None,8-2622-00050/00001,07/22/2011,04/30/2020,"10-14 Avion Drive
Rochester, NY 14624
(43.101211, -77.696466)"
Canaseraga Transfer Station,89 Main Street,,Canaseraga,NY,14822,Allegany,9,5852689230,Allegany County DPW,County,RHRF - 5 tpd or less - registration,[02R10015],Yes,271189,4704565,4.2 - Utilization of GIS and existing spatial data,Paperboard/Boxboard;Office Paper;Container Glass;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal;Plastic;Other - Batteries;Textiles,Registration,02R10015,10/03/2019,10/03/2024,"89 Main Street
Canaseraga, NY 14822
(42.460583, -77.78348)"
Lake Auto Parts Inc,498 & 503 Schauber Road,,Ballston Lake,NY,12019,Saratoga,5,5183999797,Phillip Heitmann,Private,Motor vehicle repair shop - large - registration,[46V40013],Yes,592003,4751103,,End of Life Vehicles,Registration,46V40013,03/07/2019,03/06/2024,"498 & 503 Schauber Road
Ballston Lake, NY 12019
(42.907353, -73.871999)"
Rifenburg Herkimer Pit,5835 Route 5,,Herkimer,NY,13350,Herkimer,6,,Rifenburg Construction Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[22C60005],Yes,0,0,1 - No accuracy stated,Soil (Clean),,22C60005,05/15/2019,05/14/2024,"5835 Route 5
Herkimer, NY 13350
(43.024145, -74.933818)"
Gary's U-Pull It Inc,230 Colesville Road,,Binghamton,NY,13904,Broome,7,6077752934,Fenix Parts; Inc.,Private,VDF - large - registration,[04V50021],Yes,432028,4662259,,End of Life Vehicles,Registration,DMV 7002824,,02/20/2019,"230 Colesville Road
Binghamton, NY 13904
(42.109733, -75.822257)"
Kings Point DPW Storage Facility,Kings Point Road,,Kings Point,NY,11024,Nassau,1,5164827872,Village of Kings Point,Municipal,Transfer station - registration,[30R08R],Yes,605155,4519150,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Street Sweepings;Emergency Authorization Waste (Storm Debris);Wood (Brush/ Branches/ Trees/ Stumps),Registration,30R08R,09/12/2008,,
Plourde Scrap Yard,11181 Gay Road,,Pulteney,NY,14874,Steuben,8,6078683950,Joe Plourde,Private,Vehicle Dismantling Facility,[51J],Yes,320251,4714725,,,,,,,"11181 Gay Road
Pulteney, NY 14874
(42.54172, -77.20585)"
New Rochelle Leaf TS,85 Beechwood Ave,,New Rochelle,NY,10801,Westchester,3,9146542129,City of New Rochelle,Municipal,Transfer station - registration,[60R19],Yes,601716,4529087,,Yard Waste;Wood (Brush/ Branches/ Trees/ Stumps),Registration,60R19,,,"85 Beechwood Ave
New Rochelle, NY 10801
(40.905658, -73.792286)"
D&G Recycling LLC,299 Lower Warren St,,Queensbury,NY,12804,Warren,5,5183618877,Gary Finger,Private,RHRF - 5 tpd or less - registration,[57R10012],Yes,613812,4794635,,Plastic;Commingled Paper;Other Aluminum Scrap Metal,Registration,57R10012,10/07/2019,10/07/2024,"299 Lower Warren St
Queensbury, NY 12804
(43.310735, -73.60908)"
Kingsbury Transfer Station,1612 Route 196,,Hudson Falls,NY,12839,Washington,5,5187478196,Elnicki Aggregate Inc,Private,Scrap metal processor - registration,[58V30012],Yes,614685,4795165,,Scrap Metal - Non-ferrous ;Scrap Metal - Aluminum ;Scrap Metal - Ferrous,Registration,58V30012,09/17/2020,09/16/2025,
Clean Earth Septic Systems,Huddle Hill Road,,Van Etten,NY,14889,Chemung,8,6075647931,Levi J. Carling,Private,Land application - septage - registration,[08A40003],Yes,367642,4680050,1 - No accuracy stated,Septage,Registration,08A40003,11/25/2017,11/24/2022,
Sagaponack Sand & Gravel Corp,32 Haines Path,,Bridgehampton,NY,11932,Suffolk,1,6315372252,Keith Grimes,Private,C&D processing - registration,[52W176R],Yes,728083,4536716,1 - No accuracy stated,Asphalt;Concrete;Soil (Clean);Wood (Brush/ Branches/ Trees/ Stumps);Wood (Chips);Rock,Registration,52W176R,08/31/2011,,"32 Haines Path
Bridgehampton, NY 11932
(40.952372, -72.289501)"
Clarkson Transfer Station,3078 Redman Road,,Clarkson,NY,14430,Monroe,8,5856371132,Town of Clarkson,Municipal,CDDHRF - concrete rock brick - registration,[28C10008],Yes,259343,4793956,4.2 - Utilization of GIS and existing spatial data,Rock;Brick;Concrete,Registration,28C10008,05/14/2019,05/13/2024,"3078 Redman Road
Clarkson, NY 14430
(43.260215, -77.96654)"
Schenectady County Compost and Recycling Center,24 Hetcheltown Road,,Glenville,NY,12302,Schenectady,4,,Schenectady County,County,RHRF - registration,[47M04],Yes,589046,4749661,4.3 - Utilization of Digital Orthophoto Quads,,Registration,47M02,,,"24 Hetcheltown Road
Glenville, NY 12302
(42.870762, -73.905084)"
Delaware County SWMF,32230 NYS Route 10,,Walton,NY,13856,Delaware,4,6077462128,Delaware County,County,Landfill - C&DD - permit,[13D01],Yes,495542,4667569,1.1 - Obtained from original submission and unverified process,Construction & Demolition Debris,Permit,4-1256-00040/00004,07/22/2019,06/01/2024,
Valley Towing,715 Valley Drive,,Syracuse,NY,13207,Onondaga,7,3152543838,Martin Ellis,Private,Scrap metal processor - registration,[34V30071],Yes,405740,4762556,,Cast Iron;Iron;Steel;Stainless Steel,Registration,34V30071,01/08/2019,05/03/2023,"715 Valley Drive
Syracuse, NY 13207
(43.009677, -76.156616)"
Camden Transfer Station,#2 Nichols Lane,,Camden,NY,13316,Oneida,6,3152452590,Village of Camden,Municipal,Transfer station - registration,[33R13],Yes,439517,4798415,4.3 - Utilization of Digital Orthophoto Quads,,Registration,33R13,07/01/1994,,
West County Transfer Station,121 Osborne St,,Sherman,NY,14781,Chautauqua,9,7167616565,Chautauqua County DPF,County,Transfer station - permit,[07T18],Yes,120527,4676782,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Electronics;Corrugated Cardboard;Commingled Plastics;Metals (Ferrous & Non-Ferrous);Junk Mail;Magazines;Newspaper;White Goods,Permit,9-0666-00019/00003,02/24/2015,02/23/2025,"121 Osborne St
Sherman, NY 14781
(42.081718, -79.248211)"
Fleur De Lis Brew Works; LLC,3630 State Route 414,,Seneca Falls,NY,13148,Seneca,8,3156652337,Fleur De Lis Brew Works LLC,Private,Land application - UFPW - registration,[50A30005],Yes,352400,4745686,4 - GIS Assisted,Non-recognizable Food Processing Waste,Registration,50A30006,09/25/2019,09/25/2024,"3630 State Route 414
Seneca Falls, NY 13148
(42.848828, -76.805272)"
LBD Enterprises (V. Chittenango Biosolids),Tag Rd.,,Chittenango,NY,13037,Madison,7,3156873196,LBD Enterprises LLC,Private,Composting/other processing - biosolids/other,[27C03],Yes,434090,4772409,,,Permit,7-2548-00004/00007,05/14/2010,05/13/2020,
Clean Air Group Processing Corp,174A Miller Place,,Hicksville,NY,11801,Nassau,1,5163909466,Salvatore Acquista,Private,Used Cooking Oil Processing,[30T102],Yes,625192,4515921,1 - No accuracy stated,,Permit,1-2824-03111/00001,03/18/2016,03/17/2021,"174A Miller Place
Hicksville, NY 11801
(40.784546, -73.514962)"
Hanson Aggregates New York LLC - Stafford,5870 Main Road,,Stafford,NY,14143,Genesee,8,5853431787,Hanson Aggregates New York LLC,Private,CDDHRF - asphalt pavement and millings - registration,[19W04],Yes,247800,4762600,1 - No accuracy stated,Asphalt,Registration,19W04,,,"5870 Main Road
Stafford, NY 14143
(42.983557, -78.090094)"
Piercefield Transfer Station,Dump Rd,,Piercefield,NY,12973,St. Lawrence,6,,Town of Piercefield,Municipal,Transfer facility - registration,[45T10003],Yes,535395,4898102,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);White Goods;Waste Tires;Mattresses,Registration,45T10003,04/17/2019,04/16/2024,
Boot's Auto Parts Inc,7142 Trenton Road,,Barneveld,NY,13304,Oneida,6,3155251053,Troya Motors LLC,Private,VDF - large - registration,[33V40016],Yes,485370,4784114,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles,,33V40016,10/07/2019,10/06/2024,"7142 Trenton Road
Barneveld, NY 13304
(43.209663, -75.180207)"
NYCDOS EAST 91ST ST. MTS,E 91ST STREET  (91ST ST. & EAST RIVER),,New York,NY,10128,New York,2,2128378030,,,Transfer station - permit,[31T02],Yes,589048,4514780,,,Permit,2-6204-00007/00013,11/06/2015,11/05/2025,
Two-Can Dan's,137 Benham Street,,Penn Yan,NY,14527,Yates,8,3155364687,Dan Gurba,Private,RHRF - 5 tpd or less - registration,[62R10012],Yes,331864,4725567,4 - GIS Assisted,Electronics;PET;Paperboard/Boxboard;Plastic,Registration,62R10012,07/02/2019,07/01/2024,"137 Benham Street
Penn Yan, NY 14527
(42.66399, -77.052279)"
Clarkie's Auto Salvage,191 Geyser Rd.,,Saratoga Springs,NY,12866,Saratoga,5,5185845376,Thomas Clark,Private,VDF - large - registration,[46V50011],Yes,594374,4767066,,End of Life Vehicles,Registration,46V50011,01/30/2019,01/29/2024,"191 Geyser Rd.
Saratoga Springs, NY 12866
(43.050303, -73.83971)"
Clean Water of New York Inc,3249 Richmond Terrace,P.O. BOX 030316,Staten Island,NY,10303,Richmond,2,7189814600,Clean Water of New York Inc,Private,Waste oil storage; reprocessing or rerefining facility,[43O0007],Yes,570256,4499293,,Used Oil,Permit,2-6401-00065/00003,08/02/2017,09/30/2022,"3249 Richmond Terrace
Staten Island, NY 10303
(40.640372, -74.166332)"
Modern Landfill; Inc.,1445 Pletcher Road,,Model City,NY,14107,Niagara,9,7167548226,Modern Corporation,Private,Composting - SSO - registration,[32P20010],Yes,394195,1169402,,Food Scraps;Source Separated Organic Waste (SSOW),,32P20010,07/26/2019,07/26/2024,"1445 Pletcher Road
Model City, NY 14107
(43.211376, -78.979848)"
Satarian Auto Parts,4250 Witmer Road,,Niagara Falls,NY,14305,Niagara,9,7162850611,George Satarian,Private,VDF - large - registration,[32V50028],Yes,172058,4782664,4.2.1 - Utilization of GIS and Facility Mapping System,End of Life Vehicles,Registration,32V50028,08/21/2020,08/21/2025,"4250 Witmer Road
Niagara Falls, NY 14305
(43.125092, -79.031877)"
Oneonta Transfer Station,75 Silas Lane,,Oneonta,NY,13820,Otsego,4,6074329540,Otsego County,Municipal,RHRF - permit,[39RP1246],Yes,491200,4698100,,,Permit,4-3612-00012/00002,08/07/2019,07/18/2024,"75 Silas Lane
Oneonta, NY 13820
(42.436251, -75.105577)"
Omni Recycling of Babylon Inc,114 Alder Street,,West Babylon,NY,11704,Suffolk,1,6316941694,Omni Recycling of Babylon Inc,Private,RHRF - permit,[52M19],Yes,635534,4510107,4.3 - Utilization of Digital Orthophoto Quads,Commingled Recyclables,Permit,1-4720-00643/00002-0,02/17/2017,02/16/2022,"114 Alder Street
West Babylon, NY 11704
(40.731886, -73.395643)"
Davis Auto Salvage,7534 Tilton Road,,Bloomfield,NY,14469,Ontario,8,5856573202,Robert Davis,Private,Vehicle Dismantling Facility,[35J],Yes,299947,4745760,,,,,,,"7534 Tilton Road
Bloomfield, NY 14469
(42.835494, -77.447866)"
County Waste & Recycling Services - Clifton Park,1927 Route 9,,Clifton Park,NY,12065,Saratoga,5,5188777007,County Waste & Recycling Services; Inc.,Private,Transfer station - permit,[46W05],Yes,600200,4751000,,MSW (Residential/Institutional & Commercial);Waste Tires;Commingled Paper & Containers;Single Stream,Permit,5-4138-00127/00001,08/02/2011,08/01/2021,"1927 Route 9
Clifton Park, NY 12065
(42.903292, -73.77498)"
Tom & Paul's Tire Trax Inc,1233 East Main Street,,Rochester,NY,14609,Monroe,8,5854822940,Paul Palmer,Private,WTHRF - collection and storage - registration,[28W10011],Yes,290319,4781961,1 - No accuracy stated,Tire,Registration,28W10011,03/06/2019,03/05/2024,"1233 East Main Street
Rochester, NY 14609
(43.161575, -77.579159)"
LaForge Transfer Station,3090 County Road 30 (Trapping Brook Road),,Wellsville,NY,14895,Allegany,9,5858089000,LaForge Transfer Station,Private,Transfer station - permit,[02R09],Yes,259868,4667111,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),Permit,9-0270-00109/00002,05/31/2016,05/30/2021,"3090 County Road 30 (Trapping Brook Road)
Wellsville, NY 14895
(42.119781, -77.904328)"
A.L. Blades-Cuba HMA Plant,9825 State Route 446,P.O Box 6,Cuba,NY,14727,Allegany,9,5859683187,Dolomite Products Company Inc.,Private,C&D processing - registration,[02W03],Yes,227800,4679099,4.2 - Utilization of GIS and existing spatial data,Asphalt,Registration,02W03,07/12/2016,,"9825 State Route 446
Cuba, NY 14727
(42.21728, -78.297529)"
Modern Landfill; Inc.,1445 Pletcher Road,,Model City,NY,14107,Niagara,9,7167548226,Modern Corporation,Private,Landfill - MSW - permit,[32S30],Yes,176826,4792068,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Asbestos (Non-Friable);Non-petroleum Contaminated Soil;Sludge (Industrial);Asbestos (Friable);MSW (Residential/Institutional & Commercial),Permit,9-2924-00016/00043,10/17/2017,10/28/2023,"1445 Pletcher Road
Model City, NY 14107
(43.211376, -78.979848)"
Westchester County Valhalla HMRF,Grasslands Campus HMRF,15 Woods Road,Valhalla,NY,10595,Westchester,3,,Westchester County,County,Household hazardous waste,[60Z02],Yes,600574,4547962,1 - No accuracy stated,,Permit,3-5534-00329/00001,01/24/2012,11/09/2022,
M&T Materials LLC,1403 Millburn Drive,,Conklin,NY,13748,Broome,7,6077755030,Boland's Excavating & Topsoil,Private,C&D processing - registration,[04W05],Yes,433706,4653417,,Wood (Unadulterated Pallets),Registration,04W05,12/07/2015,,"1403 Millburn Drive
Conklin, NY 13748
(42.02994, -75.801049)"
Stericycle Inc - Rotterdam,Rotterdam Industrial Park; Route 7,West Road and 11th Street,Schenectady,NY,12306,Schenectady,4,,Stericycle,Private,Regulated medical waste - transfer station,[47V02],Yes,582815,4736946,,,Permit,4-4428-00257/00001,01/06/2011,06/07/2021,
Metalico Buffalo,127 Fillmore Ave,,Buffalo,NY,14210,Erie,9,7165832720,Metalico Inc.,Private,Scrap metal processor - registration,[15V30015],Yes,186215,4754229,1.1 - Obtained from original submission and unverified process,Scrap Metal - Ferrous ;Scrap Metal - Aluminum ;Scrap Metal - Non-ferrous ;Steel,Registration,15V30015,11/27/2018,11/27/2023,"127 Fillmore Ave
Buffalo, NY 14210
(42.877055, -78.841373)"
M&M U Pull It Inc,2150 William Street,,Buffalo,NY,14206,Erie,9,7168961775,Martin T. Marks,Private,VDF - large - registration,[15V50024],Yes,190471,4755116,1 - No accuracy stated,End of Life Vehicles,Registration,15V50024,12/18/2018,12/18/2023,"2150 William Street
Buffalo, NY 14206
(42.884474, -78.790913)"
Richard Hill Property - Zuech,Mosher Hollow Road,,Cattaraugus,NY,14719,Cattaraugus,9,7162573660,Zuech's Environmental Services Inc.,Private,Land application - septage - registration,[05A40004],Yes,174180,4692591,4.2.1 - Utilization of GIS and Facility Mapping System,Septage,Registration,05A40004,08/29/2018,08/29/2023,
Southport Rail & Transfer LLC,250 Lake Avenue,,Blasdell,NY,14219,Erie,9,7168221414,Michael Young,Private,C&D processing - registration,[15W51],Yes,186173,4745238,4.2 - Utilization of GIS and existing spatial data,Concrete,Registration,15W51,02/04/2010,,"250 Lake Avenue
Blasdell, NY 14219
(42.797721, -78.836612)"
City of Syracuse DPW - Lowes Site,2800-3400 Burnet Ave Rear,(Simon Drive - next to Lowes),Syracuse,NY,13210,Onondaga,7,3154482489,City of Syracuse,Municipal,Mulch processing - registration,[34M10013],Yes,410406,4767657,4.1 - Address Matching,Wood (Brush/ Branches/ Trees/ Stumps),Registration,34M10013,06/26/2018,06/26/2023,"2800-3400 Burnet Ave Rear
Syracuse, NY 13210
(43.059896, -76.098191)"
Rhinebeck TS,376 Stone Church Road,,Rhinebeck,NY,12572,Dutchess,3,8457583405,Town of Rhinebeck,Municipal,Transfer facility - registration,[14T10007],Yes,594600,4646897,,MSW (Residential/Institutional & Commercial);Newspaper;Metals (Ferrous & Non-Ferrous);Commingled Paper & Containers;Electronics,Registration,14R19,,,"376 Stone Church Road
Rhinebeck, NY 12572
(41.968654, -73.856643)"
Frewsburg Transfer Station,29 Railroad Avenue,,Frewsburg,NY,14738,Chautauqua,9,7165695074,Casella Waste Management of NY Inc,Private,Transfer station - permit,[07T23],Yes,155088,4664237,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Single Stream;Glass;Metals (Ferrous & Non-Ferrous),Permit,9-0624-00057/00001,02/10/2014,02/09/2024,"29 Railroad Avenue
Frewsburg, NY 14738
(42.054485, -79.167629)"
Gloversville Drop Off,58 Beaver Street,,Gloversville,NY,12078,Fulton,5,5187734557,Gloversville DPW,Municipal,Transfer station - registration,[18R08],Yes,553104,4765805,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Wood (Brush/ Branches/ Trees/ Stumps),Registration,18R08,06/22/2006,,"58 Beaver Street
Gloversville, NY 12078
(43.042977, -74.348017)"
Chatham Convenience,Rt. 295,,Chatham,NY,12037,Columbia,4,5183922222,Columbia County,County,Transfer station - registration,[11R38],Yes,617870,4693263,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Single Stream,Registration,11R38,,,
Westchester County Northern Tier Recyclables TS,167 Roa Hook Road,,Cortlandt,NY,10567,Westchester,3,9147370100,Westchester County,County,Transfer station - registration,[60R23],Yes,588090,4572400,4.3 - Utilization of Digital Orthophoto Quads,Yard Waste;Commingled Paper & Containers,Registration,60R23,07/30/2001,,"167 Roa Hook Road
Cortlandt, NY 10567
(41.298036, -73.948388)"
ADA Auto Parts & Sales Inc.,491 Barry Street,,Bronx,NY,10474,Bronx,2,7188930410,ADA Auto Parts & Sales Inc.,Private,VDF - large - registration,[03V50006],Yes,593199,4518126,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles;Engine Coolant/Antifreeze;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water,Registration,03V50006,12/09/2019,12/08/2024,"491 Barry Street
Bronx, NY 10474
(40.808899, -73.894901)"
